Wind Farm,Severity Score
CSOMA II,0.4063454228295581
AMUNDSEN,0.3976403340535808
ARGAÑOSO,0.3942588970813143
BIG HORN II,0.37146265537351436
CSOMA I,0.36360798868863586
BULLANA,0.35227912154059343
SAVALLA,0.3455474267534477
ALTO DE LA DEGOLLADA,0.333166943365994
KISIGMAND,0.3304422698392043
VALDELANAVE,0.3289884263377868
HARESTANES,0.3204619383786535
CONESA II,0.3203743154789079
MUELA CUBILLO,0.31814067982439936
HARDSCRABBLE,0.31466818503060634
RADONA I,0.3141606069826784
RADONA II,0.3104849970296374
VALDEPERONDO,0.3084926090102803
ALMENDROS II,0.30526565222001095
CARRIL,0.3052334475206945
VALDECARRION,0.3048280701796597
CUEZA,0.30467359002837635
ALTAMIRA,0.3018054792177284
LIRIOS,0.2977348572181346
SCOTT,0.2958827085387223
MAJAL ALTO,0.29551341970632994
RETUERTA,0.2859847807819603
VALDEFUENTES,0.28402328780650904
TALLISCA,0.2838044268095951
CENTENAR,0.2836320183154385
DOLAR I,0.27947373494062244
GLEN APP,0.2789415575483208
SAUCITO,0.27672513001057825
GOMERA,0.2746626209696148
CABEZAS,0.27361346078085613
REVENTONES,0.2663443102840493
PICO COLLALBAS,0.26368377238839935
MEL II,0.25577517839506225
DOLAR III,0.25266272742007573
CORTIJO LINERA,0.24617751558737577
CARRASCOSA,0.24272891667245267
ARIZONA I,0.24201561474488348
CALANGO IV,0.2344065387578341
CAETITE I,0.23401142493683874
CALANGO III,0.23158758017232792
CAETITE III,0.2293362965088305
CAETITE II,0.2288731905899119
